SITE_NAME|INVOICE_NAME|BEGIN|END|KWH_PERIOD|PERIOD_EUR
12346_GEO (0001BR)|7010768671|01/09/2020|30/09/2020|2 761|348,79
12346_GEO (0001BR)|7010772334|01/10/2020|31/10/2020|2 802|353,90
12346_GEO (0001BR)|7010775129|01/11/2020|30/11/2020|2 677|338,44
12347_GEO (0001KO)|7293511510|01/01/2018|31/01/2018|2 179|268,53
12347_GEO (0001KO)|7293522867|01/02/2018|28/02/2018|1 971|243,47
12347_GEO (0001KO)|7293319851|01/03/2018|31/03/2018|2 191|269,98
12347_GEO (0001KO)|7293534003|01/04/2018|30/04/2018|2 370|291,55
12347_GEO (0001KO)|7293413195|01/05/2018|31/05/2018|2 647|324,92
12347_GEO (0001KO)|7293543396|01/06/2018|30/06/2018|2 634|323,35
12347_GEO (0001KO)|7293752671|01/07/2018|31/07/2018|2 799|343,43
12347_GEO (0001KO)|7293331014|01/08/2018|31/08/2018|2 908|356,57
12347_GEO (0001KO)|7292415194|01/09/2018|30/09/2018|2 483|307,29
12347_GEO (0001KO)|7293114846|01/10/2018|31/10/2018|2 297|284,72
12347_GEO (0001KO)|7294313622|01/11/2018|30/11/2018|2 130|264,46
12347_GEO (0001KO)|7293020500|01/12/2018|31/12/2018|2 489|308,02
12347_GEO (0001KO)|7293335435|01/01/2019|31/01/2019|2 679|364,03
12347_GEO (0001KO)|7294044546|01/02/2019|28/02/2019|2 429|330,63
12347_GEO (0001KO)|7292604723|01/03/2019|31/03/2019|2 648|359,89
12347_GEO (0001KO)|7294049311|01/04/2019|30/04/2019|2 478|337,18
12347_GEO (0001KO)|7294051716|01/05/2019|31/05/2019|2 535|344,79
12347_GEO (0001KO)|7293608855|01/06/2019|30/06/2019|2 884|391,43
12347_GEO (0001KO)|7292425655|01/07/2019|31/07/2019|2 872|389,82
12347_GEO (0001KO)|7293613758|01/08/2019|31/08/2019|2 978|403,99
12347_GEO (0001KO)|7293344258|01/09/2019|30/09/2019|2 529|343,99
12347_GEO (0001KO)|7292217277|01/10/2019|31/10/2019|2 487|338,38
12347_GEO (0001KO)|7293616107|01/11/2019|30/11/2019|2 384|324,62
12347_GEO (0001KO)|7294326247|01/12/2019|31/12/2019|2 463|335,17
12347_GEO (0001KO)|7294059397|01/01/2020|31/01/2020|2 454|331,90
12347_GEO (0001KO)|7294525922|01/02/2020|29/02/2020|2 377|321,70
12347_GEO (0001KO)|7293937311|01/03/2020|31/03/2020|2 596|350,71
12347_GEO (0001KO)|7294061863|01/04/2020|30/04/2020|2 675|365,40
12347_GEO (0001KO)|7293422363|01/05/2020|31/05/2020|2 781|375,22
12347_GEO (0001KO)|7292712404|01/06/2020|30/06/2020|2 989|402,77
12347_GEO (0001KO)|7292714656|01/07/2020|31/07/2020|3 322|446,89
12347_GEO (0001KO)|7293774999|01/08/2020|31/08/2020|3 109|418,67
12347_GEO (0001KO)|7294429344|01/09/2020|30/09/2020|2 911|392,44
12347_GEO (0001KO)|7294130728|01/10/2020|31/10/2020|2 747|370,72
12347_GEO (0001KO)|7294332764|01/11/2020|30/11/2020|2 625|354,55
12348_GEO (0002BB)|1300082549|01/01/2018|31/01/2018|2 376|310,46
12348_GEO (0002BB)|1300082549|01/02/2018|28/02/2018|2 160|283,07
12348_GEO (0002BB)|1300082549|01/03/2018|31/03/2018|2 390|313,01
12348_GEO (0002BB)|1300082549|01/04/2018|30/04/2018|2 378|311,80
12348_GEO (0002BB)|1300082549|01/05/2018|31/05/2018|2 529|330,93
12348_GEO (0002BB)|1300082549|01/06/2018|30/06/2018|2 790|363,65
12348_GEO (0002BB)|1300082549|01/07/2018|31/07/2018|2 988|388,77
12348_GEO (0002BB)|1300082549|01/08/2018|31/08/2018|3 019|393,19
12348_GEO (0002BB)|1300082549|01/09/2018|30/09/2018|2 873|376,62
12348_GEO (0002BB)|1300082549|01/10/2018|31/10/2018|2 940|384,79
12348_GEO (0002BB)|1300082549|01/11/2018|30/11/2018|2 821|369,46
12348_GEO (0002BB)|1300082549|01/12/2018|31/12/2018|3 029|395,45
12348_GEO (0002BB)|1300082549|01/01/2019|31/01/2019|3 033|378,02
12348_GEO (0002BB)|1300082549|01/02/2019|28/02/2019|2 684|339,51
12348_GEO (0002BB)|1300082549|01/03/2019|31/03/2019|3 008|376,16
12348_GEO (0002BB)|1300082549|01/04/2019|30/04/2019|2 663|332,01
12348_GEO (0002BB)|1300082549|01/05/2019|31/05/2019|2 741|339,86
12348_GEO (0002BB)|1300082549|01/06/2019|30/06/2019|2 952|364,23
12348_GEO (0002BB)|1300082549|01/07/2019|31/07/2019|2 914|363,68
12348_GEO (0002BB)|1300082549|01/08/2019|31/08/2019|2 965|368,84
12348_GEO (0002BB)|#|01/09/2019|30/09/2019|2 819|352,21
12348_GEO (0002BB)|1300082549|01/10/2019|31/10/2019|2 927|364,86
12348_GEO (0002BB)|1300082549|01/11/2019|30/11/2019|2 773|346,35
12348_GEO (0002BB)|9200080633|01/12/2019|31/12/2019|2 822|351,90
12348_GEO (0002BB)|1300082549|01/01/2020|31/01/2020|2 830|406,02
12348_GEO (0002BB)|1300082549|01/02/2020|29/02/2020|2 625|378,86
12348_GEO (0002BB)|1300082549|01/03/2020|31/03/2020|2 734|396,33
12348_GEO (0002BB)|1300082549|01/04/2020|30/04/2020|2 644|382,45
12348_GEO (0002BB)|1300082549|01/05/2020|31/05/2020|2 753|397,69
12348_GEO (0002BB)|1300082549|01/06/2020|30/06/2020|2 763|399,57
12348_GEO (0002BB)|#|01/07/2020|31/07/2020|2 904|418,43
12348_GEO (0002BB)|1300082549|01/08/2020|31/08/2020|2 962|425,38
12348_GEO (0002BB)|1300082549|01/09/2020|30/09/2020|2 828|406,82
12348_GEO (0002BB)|1300082549|01/10/2020|31/10/2020|2 875|412,79
12348_GEO (0002BB)|1300082549|01/11/2020|30/11/2020|2 739|381,14
12349_GEO (0002BR)|7010671121|01/01/2018|31/01/2018|2 187|239,96
12349_GEO (0002BR)|7010674536|01/02/2018|28/02/2018|1 985|218,51
12349_GEO (0002BR)|7010677303|01/03/2018|31/03/2018|2 209|242,16
12349_GEO (0002BR)|7010680430|01/04/2018|30/04/2018|2 151|235,47
12349_GEO (0002BR)|7010682689|01/05/2018|31/05/2018|2 251|245,79
12349_GEO (0002BR)|7010685153|01/06/2018|30/06/2018|2 207|241,00
12349_GEO (0002BR)|7010687605|01/07/2018|31/07/2018|2 290|249,83
12349_GEO (0002BR)|7010690122|01/08/2018|31/08/2018|2 316|252,45
12349_GEO (0002BR)|7010693510|01/09/2018|30/09/2018|2 172|239,10
12349_GEO (0002BR)|7010696602|01/10/2018|31/10/2018|2 216|244,03
12349_GEO (0002BR)|7010698523|01/11/2018|30/11/2018|2 313|254,38
12349_GEO (0002BR)|7010701285|01/12/2018|31/12/2018|2 659|290,96
12349_GEO (0002BR)|7010705839|01/01/2019|31/01/2019|2 662|284,26
12349_GEO (0002BR)|7010710054|01/02/2019|28/02/2019|2 409|257,94
12349_GEO (0002BR)|7010713168|01/03/2019|31/03/2019|2 707|288,61
12349_GEO (0002BR)|7010718299|01/04/2019|30/04/2019|2 624|279,83
12349_GEO (0002BR)|7010722173|01/05/2019|31/05/2019|2 715|289,18
12349_GEO (0002BR)|7010724621|01/06/2019|30/06/2019|2 741|291,44
12349_GEO (0002BR)|7010727192|01/07/2019|31/07/2019|2 812|298,72
12349_GEO (0002BR)|7010729531|01/08/2019|31/08/2019|2 537|269,82
12349_GEO (0002BR)|7010731590|01/09/2019|30/09/2019|2 414|257,19
12349_GEO (0002BR)|7010735200|01/10/2019|31/10/2019|2 489|265,07
12349_GEO (0002BR)|7010737367|01/11/2019|30/11/2019|2 410|257,13
12349_GEO (0002BR)|7010740643|01/12/2019|31/12/2019|2 493|265,86
12349_GEO (0002BR)|7010745551|01/01/2020|31/01/2020|2 513|319,43
12349_GEO (0002BR)|7010749427|01/02/2020|29/02/2020|2 400|305,19
12349_GEO (0002BR)|7010752580|01/03/2020|31/03/2020|2 646|333,77
12349_GEO (0002BR)|7010755366|01/04/2020|30/04/2020|2 674|337,00
12349_GEO (0002BR)|7010757787|01/05/2020|31/05/2020|2 651|334,85
12349_GEO (0002BR)|7010760352|01/06/2020|30/06/2020|2 586|326,84
12349_GEO (0002BR)|7010762664|01/07/2020|31/07/2020|2 751|347,07
12349_GEO (0002BR)|7010766224|01/08/2020|31/08/2020|2 780|350,62
12349_GEO (0002BR)|7010768671|01/09/2020|30/09/2020|2 660|335,86
12349_GEO (0002BR)|7010772334|01/10/2020|31/10/2020|2 745|346,36
12349_GEO (0002BR)|7010775129|01/11/2020|30/11/2020|2 628|331,97
12350_GEO (0002KO)|7293511510|01/01/2018|31/01/2018|2 312|286,36
12350_GEO (0002KO)|7293522867|01/02/2018|28/02/2018|2 086|259,13
12350_GEO (0002KO)|7293319851|01/03/2018|31/03/2018|2 308|285,88
12350_GEO (0002KO)|7293534003|01/04/2018|30/04/2018|2 245|278,29
12350_GEO (0002KO)|7293413195|01/05/2018|31/05/2018|2 339|289,61
12350_GEO (0002KO)|7293543396|01/06/2018|30/06/2018|2 278|282,26
12350_GEO (0002KO)|7293752671|01/07/2018|31/07/2018|2 348|290,86
12350_GEO (0002KO)|7293331014|01/08/2018|31/08/2018|2 368|293,27
12350_GEO (0002KO)|7292415194|01/09/2018|30/09/2018|2 248|280,57
12350_GEO (0002KO)|7293114846|01/10/2018|31/10/2018|2 300|286,88
12350_GEO (0002KO)|7294313621|01/11/2018|30/11/2018|2 595|322,68
12350_GEO (0002KO)|7293020499|01/12/2018|31/12/2018|2 765|343,31
12350_GEO (0002KO)|7293335434|01/01/2019|31/01/2019|2 766|377,48
12350_GEO (0002KO)|7294044545|01/02/2019|28/02/2019|2 500|341,94
12350_GEO (0002KO)|7292604722|01/03/2019|31/03/2019|2 652|362,25
12350_GEO (0002KO)|7294049310|01/04/2019|30/04/2019|2 483|339,67
12350_GEO (0002KO)|7294051715|01/05/2019|31/05/2019|2 548|348,35
12350_GEO (0002KO)|7293608854|01/06/2019|30/06/2019|2 514|343,81
12350_GEO (0002KO)|7292425654|01/07/2019|31/07/2019|2 557|349,55
12350_GEO (0002KO)|7293613757|01/08/2019|31/08/2019|2 575|351,96
12350_GEO (0002KO)|7293344257|01/09/2019|30/09/2019|2 473|338,33
12350_GEO (0002KO)|7292217276|01/10/2019|31/10/2019|2 550|348,62
12350_GEO (0002KO)|7294323922|01/11/2019|30/11/2019|2 462|336,86
12350_GEO (0002KO)|7294326246|01/12/2019|31/12/2019|2 520|344,61
12350_GEO (0002KO)|7294059396|01/01/2020|31/01/2020|2 524|343,21
12350_GEO (0002KO)|7294525921|01/02/2020|29/02/2020|2 437|331,69
12350_GEO (0002KO)|7293937310|01/03/2020|31/03/2020|2 623|356,33
12350_GEO (0002KO)|7294061862|01/04/2020|30/04/2020|2 632|357,52
12350_GEO (0002KO)|7293422362|01/05/2020|31/05/2020|2 715|368,52
12350_GEO (0002KO)|7292712403|01/06/2020|30/06/2020|2 655|360,57
12350_GEO (0002KO)|7292714655|01/07/2020|31/07/2020|2 794|378,98
12350_GEO (0002KO)|7293774998|01/08/2020|31/08/2020|2 845|385,74
12350_GEO (0002KO)|7294429343|01/09/2020|30/09/2020|2 726|369,97
12350_GEO (0002KO)|7294130727|01/10/2020|31/10/2020|2 797|379,38
12350_GEO (0002KO)|7294332763|01/11/2020|30/11/2020|2 678|363,62
12351_GEO (0003BB)|1300082549|01/01/2018|31/01/2018|2 100|271,90
12351_GEO (0003BB)|1300082549|01/02/2018|28/02/2018|1 897|246,46
12351_GEO (0003BB)|1300082549|01/03/2018|31/03/2018|2 103|272,70
12351_GEO (0003BB)|1300082549|01/04/2018|30/04/2018|2 062|267,67
12351_GEO (0003BB)|1300082549|01/05/2018|31/05/2018|2 144|278,24
12351_GEO (0003BB)|1300082549|01/06/2018|30/06/2018|2 409|311,78
12351_GEO (0003BB)|1300082549|01/07/2018|31/07/2018|2 675|345,06
12351_GEO (0003BB)|1300082549|01/08/2018|31/08/2018|2 701|348,81
12351_GEO (0003BB)|1300082549|01/09/2018|30/09/2018|2 147|280,38
12351_GEO (0003BB)|1300082549|01/10/2018|31/10/2018|3 052|394,40
12351_GEO (0003BB)|1300082549|01/11/2018|30/11/2018|2 527|327,92
12351_GEO (0003BB)|1300082549|01/12/2018|31/12/2018|2 742|354,90
12351_GEO (0003BB)|1300082549|01/01/2019|31/01/2019|2 729|337,04
12351_GEO (0003BB)|1300082549|01/02/2019|28/02/2019|2 353|291,99
12351_GEO (0003BB)|1300082549|01/03/2019|31/03/2019|2 587|319,91
12351_GEO (0003BB)|1300082549|01/04/2019|30/04/2019|2 392|296,52
12351_GEO (0003BB)|1300082549|01/05/2019|31/05/2019|2 476|306,30
12351_GEO (0003BB)|1300082549|01/06/2019|30/06/2019|2 673|331,24
12351_GEO (0003BB)|1300082549|01/07/2019|31/07/2019|2 849|352,67
12351_GEO (0003BB)|1300082549|01/08/2019|31/08/2019|2 868|354,63
12351_GEO (0003BB)|#|01/09/2019|30/09/2019|2 739|338,53
12351_GEO (0003BB)|1300082549|01/10/2019|31/10/2019|2 832|349,45
12351_GEO (0003BB)|1300082549|01/11/2019|30/11/2019|2 700|333,53
12351_GEO (0003BB)|9200080633|01/12/2019|31/12/2019|2 764|341,07
12351_GEO (0003BB)|1300082549|01/01/2020|31/01/2020|2 765|392,85
12351_GEO (0003BB)|1300082549|01/02/2020|29/02/2020|2 544|364,42
12351_GEO (0003BB)|1300082549|01/03/2020|31/03/2020|2 671|383,97
12351_GEO (0003BB)|1300082549|01/04/2020|30/04/2020|2 608|373,97
12351_GEO (0003BB)|1300082549|01/05/2020|31/05/2020|2 691|385,30
12351_GEO (0003BB)|1300082549|01/06/2020|30/06/2020|2 663|381,63
12351_GEO (0003BB)|#|01/07/2020|31/07/2020|2 789|398,15
12351_GEO (0003BB)|1300082549|01/08/2020|31/08/2020|2 839|404,26
12351_GEO (0003BB)|1300082549|01/09/2020|30/09/2020|2 709|386,06
12351_GEO (0003BB)|1300082549|01/10/2020|31/10/2020|2 765|393,20
12351_GEO (0003BB)|1300082549|01/11/2020|30/11/2020|2 642|366,39
12352_GEO (0003BR)|7010671121|01/01/2018|31/01/2018|2 437|266,44
12352_GEO (0003BR)|7010674536|01/02/2018|28/02/2018|2 206|241,91
12352_GEO (0003BR)|7010677303|01/03/2018|31/03/2018|2 446|267,32
12352_GEO (0003BR)|7010680430|01/04/2018|30/04/2018|2 423|264,79
12352_GEO (0003BR)|7010682689|01/05/2018|31/05/2018|2 532|276,25
12352_GEO (0003BR)|7010685153|01/06/2018|30/06/2018|2 478|270,43
12352_GEO (0003BR)|7010687605|01/07/2018|31/07/2018|2 556|278,84
12352_GEO (0003BR)|7010690122|01/08/2018|31/08/2018|2 598|283,15
12352_GEO (0003BR)|7010693510|01/09/2018|30/09/2018|2 453|269,79
12352_GEO (0003BR)|7010696602|01/10/2018|31/10/2018|2 506|275,51
12352_GEO (0003BR)|7010698523|01/11/2018|30/11/2018|2 409|265,07
12352_GEO (0003BR)|7010701285|01/12/2018|31/12/2018|2 455|270,01
12352_GEO (0003BR)|7010705839|01/01/2019|31/01/2019|2 467|264,75
12352_GEO (0003BR)|7010710054|01/02/2019|28/02/2019|2 237|240,77
12352_GEO (0003BR)|7010713168|01/03/2019|31/03/2019|2 494|267,47
12352_GEO (0003BR)|7010718299|01/04/2019|30/04/2019|2 426|260,39
12352_GEO (0003BR)|7010722173|01/05/2019|31/05/2019|2 526|270,73
12352_GEO (0003BR)|7010724621|01/06/2019|30/06/2019|2 566|274,67
12352_GEO (0003BR)|7010727192|01/07/2019|31/07/2019|2 618|280,06
12352_GEO (0003BR)|7010729531|01/08/2019|31/08/2019|2 615|279,72
12352_GEO (0003BR)|7010731590|01/09/2019|30/09/2019|2 484|266,17
12352_GEO (0003BR)|7010735200|01/10/2019|31/10/2019|2 736|291,59
12352_GEO (0003BR)|7010737367|01/11/2019|30/11/2019|2 617|279,31
12352_GEO (0003BR)|7010740643|01/12/2019|31/12/2019|2 660|283,77
12352_GEO (0003BR)|7010745551|01/01/2020|31/01/2020|2 662|338,47
12352_GEO (0003BR)|7010749427|01/02/2020|29/02/2020|2 524|321,27
12352_GEO (0003BR)|7010752580|01/03/2020|31/03/2020|2 694|340,71
12352_GEO (0003BR)|7010755366|01/04/2020|30/04/2020|2 704|341,86
12352_GEO (0003BR)|7010757787|01/05/2020|31/05/2020|2 801|353,83
12352_GEO (0003BR)|7010760352|01/06/2020|30/06/2020|2 743|346,60
12352_GEO (0003BR)|7010762664|01/07/2020|31/07/2020|2 920|368,35
12352_GEO (0003BR)|7010766224|01/08/2020|31/08/2020|2 872|362,49
12352_GEO (0003BR)|7010768671|01/09/2020|30/09/2020|2 818|355,93
12352_GEO (0003BR)|7010772334|01/10/2020|31/10/2020|2 862|361,39
12352_GEO (0003BR)|7010775129|01/11/2020|30/11/2020|2 739|346,21
12353_GEO (0003KO)|221803066|01/01/2018|31/03/2018|6 293|985,04
12353_GEO (0003KO)|221806145|01/04/2018|30/06/2018|7 082|1 118,25
12353_GEO (0003KO)|221809214|01/07/2018|30/09/2018|6 740|1 066,96
12353_GEO (0003KO)|221812287|01/10/2018|31/12/2018|8 423|1 331,26
12353_GEO (0003KO)|221903065|01/01/2019|31/03/2019|7 883|1 373,30
12353_GEO (0003KO)|221906134|01/04/2019|30/06/2019|7 024|1 229,28
12353_GEO (0003KO)|221909206|01/07/2019|30/09/2019|7 143|1 251,45
12353_GEO (0003KO)|221912279|01/10/2019|31/12/2019|7 707|1 345,33
12353_GEO (0003KO)|222003061|01/01/2020|31/03/2020|6 561|1 058,29
12353_GEO (0003KO)|222006132|01/04/2020|30/06/2020|7 511|1 220,24
12353_GEO (0003KO)|222009203|01/07/2020|30/09/2020|7 823|1 270,14
12354_GEO (0004BB)|VF/18/022|01/01/2018|31/01/2018|14 414|1 369,33
12354_GEO (0004BB)|VF/18/051|01/02/2018|28/02/2018|12 328|1 171,16
12354_GEO (0004BB)|VF/18/074|01/03/2018|31/03/2018|12 849|1 220,66
12354_GEO (0004BB)|VF/18/098|01/04/2018|30/04/2018|14 535|1 380,83
12354_GEO (0004BB)|VF/18/122|01/05/2018|31/05/2018|14 547|1 381,97
12354_GEO (0004BB)|VF/18/143|01/06/2018|30/06/2018|14 379|1 366,01
12354_GEO (0004BB)|VF/18/165|01/07/2018|31/07/2018|15 907|1 511,17
12354_GEO (0004BB)|VF/18/188|01/08/2018|31/08/2018|15 701|1 491,60
12354_GEO (0004BB)|VF/18/204|01/09/2018|30/09/2018|15 544|1 476,68
12354_GEO (0004BB)|VF/18/229|01/10/2018|31/10/2018|14 691|1 395,65
12354_GEO (0004BB)|VF/18/253|01/11/2018|30/11/2018|14 728|1 399,16
12354_GEO (0004BB)|VF/18/280|01/12/2018|31/12/2018|15 174|1 441,53
12354_GEO (0004BB)|VF/20/019|01/01/2019|31/01/2019|9 410|1 246,83
12354_GEO (0004BB)|VF/19/021|01/01/2019|31/01/2019|15 297|2 026,85
12354_GEO (0004BB)|VF/19/045|01/02/2019|28/02/2019|13 756|1 822,67
12354_GEO (0004BB)|VF/19/067|01/03/2019|31/03/2019|15 810|2 094,83
12354_GEO (0004BB)|VF/19/095|01/04/2019|30/04/2019|14 090|1 866,93
12354_GEO (0004BB)|VF/19/111|01/05/2019|31/05/2019|14 081|1 865,73
12354_GEO (0004BB)|VF/19/135|01/06/2019|30/06/2019|17 034|2 257,01
12354_GEO (0004BB)|VF/19/152|01/07/2019|31/07/2019|14 906|1 975,05
12354_GEO (0004BB)|VF/19/173|01/08/2019|31/08/2019|14 638|1 939,54
12354_GEO (0004BB)|VF/19/195|01/09/2019|30/09/2019|11 200|1 484,00
12354_GEO (0004BB)|VF/19/215|01/10/2019|31/10/2019|12 068|1 599,01
12354_GEO (0004BB)|VF/19/242|01/11/2019|30/11/2019|11 184|1 481,88
12354_GEO (0004BB)|VF/19/266|01/12/2019|31/12/2019|9 904|1 312,28
12354_GEO (0004BB)|VF/20/019|01/01/2020|31/01/2020|9 410|1 246,83
12354_GEO (0004BB)|VF/20/040|01/02/2020|29/02/2020|9 465|1 254,11
12354_GEO (0004BB)|VF/20/063|01/03/2020|31/03/2020|8 849|1 172,49
12354_GEO (0004BB)|VF/20/080|01/04/2020|30/04/2020|9 214|1 220,86
12354_GEO (0004BB)|VF/20/108|01/05/2020|31/05/2020|9 883|1 309,50
12354_GEO (0004BB)|VF20126|01/06/2020|30/06/2020|9 050|1 199,13
12354_GEO (0004BB)|VF20150|01/07/2020|31/07/2020|9 809|1 299,69
12354_GEO (0004BB)|VF/20/163|01/08/2020|31/08/2020|9 962|1 319,97
12354_GEO (0004BB)|VF/20/181|01/09/2020|30/09/2020|9 092|1 204,69
12354_GEO (0004BB)|VF/20/206|01/10/2020|31/10/2020|8 640|1 144,80
12354_GEO (0004BB)|VF/20/224|01/11/2020|30/11/2020|8 720|1 155,40
12355_GEO (0004BR)|7230729120|01/01/2018|31/01/2018|2 276|244,43
12355_GEO (0004BR)|7210817415|01/02/2018|28/02/2018|2 057|221,74
12355_GEO (0004BR)|7010677549|01/03/2018|31/03/2018|2 284|245,26
12355_GEO (0004BR)|7010680438|01/04/2018|30/04/2018|2 253|242,04
12355_GEO (0004BR)|7010682137|01/05/2018|31/05/2018|2 345|251,58
12355_GEO (0004BR)|7200873047|01/06/2018|30/06/2018|2 297|252,33
12355_GEO (0004BR)|7010687678|01/07/2018|31/07/2018|2 389|262,18
12355_GEO (0004BR)|7010690351|01/08/2018|31/08/2018|2 414|264,73
12355_GEO (0004BR)|7240672664|01/09/2018|30/09/2018|2 292|253,64
12355_GEO (0004BR)|7010695617|01/10/2018|31/10/2018|2 355|260,41
12355_GEO (0004BR)|7010698165|01/11/2018|30/11/2018|2 256|249,82
12355_GEO (0004BR)|7010700707|01/12/2018|31/12/2018|2 310|255,61
12355_GEO (0004BR)|7010705826|01/01/2019|31/01/2019|2 313|249,80
12355_GEO (0004BR)|7010709596|01/02/2019|28/02/2019|2 098|227,38
12355_GEO (0004BR)|7010713458|01/03/2019|31/03/2019|2 326|251,13
12355_GEO (0004BR)|7010715460|01/04/2019|30/04/2019|2 264|244,61
12355_GEO (0004BR)|7010722067|01/05/2019|31/05/2019|2 353|253,85
